ZIP,CBSA Code,CBSA Title,Metro
7522,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7524,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7538,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7543,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7544,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7601,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7602,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7603,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7604,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7605,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7606,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7607,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7608,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7620,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7621,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7624,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7626,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7627,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7628,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7630,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7631,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7632,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7640,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7641,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7642,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7643,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7644,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7645,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7646,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7647,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7648,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7649,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7650,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7652,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7653,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7656,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7657,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7660,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7661,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7662,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7663,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7666,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7670,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7675,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7676,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7677,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7699,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7701,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7702,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7703,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7704,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7710,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7711,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7712,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7716,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7717,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7718,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7719,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7720,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7721,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7722,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7723,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7724,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7726,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
