college_id,starting_median_salary,midcareer_median_salary
142276,44900.0,73400.0
145813,42000.0,73400.0
202134,43500.0,73100.0
102553,45900.0,72600.0
165820,42400.0,72600.0
181394,41500.0,72600.0
149222,43000.0,72500.0
228796,43400.0,72100.0
110547,42700.0,72100.0
161253,41200.0,72100.0
169798,40300.0,72100.0
201441,39800.0,72100.0
180692,37300.0,71900.0
132903,42600.0,71700.0
218663,40000.0,71700.0
182281,45200.0,71600.0
174783,41800.0,71400.0
240374,40700.0,71400.0
110495,38000.0,71400.0
115755,42600.0,71300.0
133669,42600.0,71100.0
137351,41100.0,71100.0
209807,42600.0,70900.0
235097,38600.0,70900.0
229027,42500.0,70700.0
200800,41100.0,70300.0
196200,38000.0,70300.0
100663,39200.0,70100.0
220862,41400.0,69700.0
142115,40800.0,69500.0
179566,36100.0,69500.0
240329,42200.0,69300.0
197869,40400.0,69100.0
234030,42000.0,68400.0
240417,43600.0,68300.0
198464,40200.0,67500.0
230737,42400.0,67100.0
178420,41400.0,67100.0
200004,36900.0,66600.0
240365,39300.0,66400.0
196158,37800.0,66200.0
178402,38900.0,65800.0
240268,41400.0,64800.0
150136,39100.0,64500.0
199218,37500.0,64400.0
240480,39800.0,64000.0
161554,39400.0,63600.0
106458,38700.0,63300.0
203517,38700.0,62600.0
228529,40800.0,62400.0
240277,35800.0,60600.0
157386,34800.0,60600.0
219602,37700.0,59200.0
155681,40400.0,58200.0
230603,41900.0,56500.0
180179,37900.0,50600.0
219046,35300.0,43900.0
